,created_at,hours,full_text
116,2021-01-27 21:03:22+00:00,21.05611111111111,"RT @NYMag: Produce, pizza, and the power of a union: @AllieMisch reports on the end of the Hunts Point Produce Market strike https://t.co/Y…"
117,2021-01-27 19:04:00+00:00,19.066666666666666,RT @HillaryClinton: This woman should be on a watch list. Not in Congress.
118,2021-01-27 18:31:32+00:00,18.525555555555556,"RT @karavoght: During the Biden-Sanders task force, @AOC + @sunrisemvmt founder @VarshPrakash sold @JohnKerry on a ""climate corps"" to put y…"
119,2021-01-27 18:06:38+00:00,18.110555555555557,It’s almost as if we helped shape the platform 😉 https://t.co/zXn3VcAbYw
120,2021-01-26 23:36:26+00:00,23.607222222222223,"People must understand the depth of what’s happening here: the President of the United States has ordered a halt to deportations. ICE, a federal agency, is refusing to comply.

There’s no reforming this rogue dept. It’s time for a new, just vision.

 #FreeMariana &amp; #AbolishICE https://t.co/USurOjNYw5"
121,2021-01-26 23:24:36+00:00,23.41,@1Mind_the_Gap Donations are super helpful! We’ve got the link here: https://t.co/I6iZb9DXqB
122,2021-01-26 23:19:38+00:00,23.327222222222222,"Quick update on our Homework Helper program: I was just assigned my first family! 🤗

I’ll be tutoring a 1st grader on reading &amp; writing for 1 hr/week for the next 4 weeks.

Any tips out there on helping kids learn how to sound out words? Let me know! :)

https://t.co/2LmTjdx7I9"
123,2021-01-26 21:32:18+00:00,21.538333333333334,"This Obama-era rule was reversed under Trump. It’s great that it’s being restored so quickly. We can and should organize for more.

It’s time to push so we can also end for-profit immigrant detention, abolish the death penalty, reduce overall incarceration, &amp; more."
124,2021-01-26 21:22:54+00:00,21.381666666666668,"This is great development &amp; important step.

There’s more to be done to end the for-profit caging of people in the US. We must include ending for-profit immigrant detention &amp; examine the use of for-profit services that squeeze families of the incarcerated in public prisons, too. https://t.co/GyCXHLKcsq"
125,2021-01-26 19:56:16+00:00,19.93777777777778,"Quick question: If someone helped bomb a building or incited an assassination attempt on Congress, do you think they should face trial?

It’s a simple yes or no.

Yes = Impeachment
No = You have 0 integrity to speak on our justice system, terrorism, &amp; policing ever again https://t.co/aV738JHD8E"
126,2021-01-26 17:41:31+00:00,17.691944444444445,RT @DavidBegnaud: BREAKING: U.S. Capitol Police knew there was a “strong potential for violence” on Jan. 6th but failed to take adequate st…
127,2021-01-26 17:36:17+00:00,17.604722222222225,RT @JamaalBowmanNY: You might not have heard of the Office of the Comptroller of the Currency. But there’s a fight over who the Biden admin…
128,2021-01-26 15:54:22+00:00,15.90611111111111,"RT @MikeLevin: Last Congress I cosponsored a resolution expressing that there is a climate emergency, and that we address and reverse its c…"
129,2021-01-26 14:38:18+00:00,14.638333333333334,@RubenGallego Let the record reflect I was a close second! 😝 but yeah you were crazy good
130,2021-01-25 23:15:15+00:00,23.254166666666666,"I dunno, if you’re a politician that thinks ending discrimination is “divisive,” you might not want to publicly advertise that https://t.co/Ot5cp6mqTy"
131,2021-01-25 23:04:11+00:00,23.06972222222222,"If Republicans have suddenly begun to deeply value and prioritize bipartisanship in Washington, they can start by supporting $2k checks and retroactive unemployment for people. Then it will be bipartisan 🌞"
132,2021-01-25 22:59:54+00:00,22.998333333333335,"RT @CoriBush: I know you’re not used to these, but they’re called consequences, Josh. And you’re handling them very poorly. Resign."
133,2021-01-25 17:23:53+00:00,17.398055555555555,"RT @RashidaTlaib: Just so folks are clear, as a former immigration &amp; social justice attorney, I watched firsthand under President Obama, an…"
